Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
insertion_sort,NA,10,1,30.00,22.00
quick_sort,NA,10,1,28.00,22.00
dual_pivot_quick_sort,NA,10,1,21.00,13.00
hybrid_sort,15,10,1,33.00,24.00
insertion_sort,NA,20,1,100.00,84.00
quick_sort,NA,20,1,60.00,38.00
dual_pivot_quick_sort,NA,20,1,63.00,25.00
hybrid_sort,15,20,1,68.00,49.00
insertion_sort,NA,30,1,271.00,245.00
quick_sort,NA,30,1,122.00,108.00
dual_pivot_quick_sort,NA,30,1,130.00,38.00
hybrid_sort,15,30,1,143.00,77.00
insertion_sort,NA,40,1,438.00,400.00
quick_sort,NA,40,1,239.00,146.00
dual_pivot_quick_sort,NA,40,1,205.00,57.00
hybrid_sort,15,40,1,232.00,164.00
insertion_sort,NA,50,1,728.00,681.00
quick_sort,NA,50,1,256.00,155.00
dual_pivot_quick_sort,NA,50,1,272.00,87.00
hybrid_sort,15,50,1,272.00,176.00
insertion_sort,NA,10,10,26.50,18.90
quick_sort,NA,10,10,24.70,17.90
dual_pivot_quick_sort,NA,10,10,23.60,9.50
hybrid_sort,15,10,10,30.00,22.50
insertion_sort,NA,20,10,106.40,89.10
quick_sort,NA,20,10,73.30,47.50
dual_pivot_quick_sort,NA,20,10,76.00,28.00
hybrid_sort,15,20,10,68.80,42.30
insertion_sort,NA,30,10,239.30,212.70
quick_sort,NA,30,10,126.60,83.70
dual_pivot_quick_sort,NA,30,10,122.40,51.20
hybrid_sort,15,30,10,122.60,69.70
insertion_sort,NA,40,10,432.60,397.60
quick_sort,NA,40,10,183.60,111.50
dual_pivot_quick_sort,NA,40,10,191.40,73.30
hybrid_sort,15,40,10,192.40,117.50
insertion_sort,NA,50,10,676.40,630.50
quick_sort,NA,50,10,267.70,150.70
dual_pivot_quick_sort,NA,50,10,265.40,103.60
hybrid_sort,15,50,10,284.40,145.10
insertion_sort,NA,10,100,28.68,21.47
quick_sort,NA,10,100,24.45,17.65
dual_pivot_quick_sort,NA,10,100,24.69,9.11
hybrid_sort,15,10,100,28.28,20.99
insertion_sort,NA,20,100,109.37,92.68
quick_sort,NA,20,100,70.63,46.65
dual_pivot_quick_sort,NA,20,100,71.88,27.04
hybrid_sort,15,20,100,75.27,45.67
insertion_sort,NA,30,100,242.41,215.86
quick_sort,NA,30,100,129.12,83.24
dual_pivot_quick_sort,NA,30,100,130.71,49.17
hybrid_sort,15,30,100,130.72,77.91
insertion_sort,NA,40,100,420.13,384.06
quick_sort,NA,40,100,192.61,117.39
dual_pivot_quick_sort,NA,40,100,192.65,69.56
hybrid_sort,15,40,100,198.10,116.21
insertion_sort,NA,50,100,651.94,606.03
quick_sort,NA,50,100,257.36,149.28
dual_pivot_quick_sort,NA,50,100,264.81,97.47
