Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps,Type
insertion_sort,NA,10,1,22.00,13.00,random
quick_sort,NA,10,1,19.00,15.00,random
dual_pivot_quick_sort,NA,10,1,27.00,9.00,random
hybrid_sort,15,10,1,22.00,14.00,random
insertion_sort,NA,10,1,9.00,0,sorted
quick_sort,NA,10,1,45.00,54.00,sorted
dual_pivot_quick_sort,NA,10,1,45.00,0,sorted
hybrid_sort,15,10,1,9.00,0,sorted
insertion_sort,NA,10,1,45.00,45.00,reverse
quick_sort,NA,10,1,45.00,29.00,reverse
dual_pivot_quick_sort,NA,10,1,45.00,5.00,reverse
hybrid_sort,15,10,1,45.00,45.00,reverse
insertion_sort,NA,20,1,99.00,81.00,random
quick_sort,NA,20,1,90.00,50.00,random
dual_pivot_quick_sort,NA,20,1,75.00,22.00,random
hybrid_sort,15,20,1,73.00,46.00,random
insertion_sort,NA,20,1,19.00,0,sorted
quick_sort,NA,20,1,190.00,209.00,sorted
dual_pivot_quick_sort,NA,20,1,190.00,0,sorted
hybrid_sort,15,20,1,154.00,155.00,sorted
insertion_sort,NA,20,1,190.00,190.00,reverse
quick_sort,NA,20,1,190.00,109.00,reverse
dual_pivot_quick_sort,NA,20,1,190.00,10.00,reverse
hybrid_sort,15,20,1,190.00,125.00,reverse
insertion_sort,NA,30,1,224.00,198.00,random
quick_sort,NA,30,1,135.00,98.00,random
dual_pivot_quick_sort,NA,30,1,121.00,38.00,random
hybrid_sort,15,30,1,150.00,118.00,random
insertion_sort,NA,30,1,29.00,0,sorted
quick_sort,NA,30,1,435.00,464.00,sorted
dual_pivot_quick_sort,NA,30,1,435.00,0,sorted
hybrid_sort,15,30,1,399.00,410.00,sorted
insertion_sort,NA,30,1,435.00,435.00,reverse
quick_sort,NA,30,1,435.00,239.00,reverse
dual_pivot_quick_sort,NA,30,1,435.00,15.00,reverse
hybrid_sort,15,30,1,435.00,255.00,reverse
insertion_sort,NA,40,1,387.00,351.00,random
quick_sort,NA,40,1,201.00,107.00,random
dual_pivot_quick_sort,NA,40,1,187.00,83.00,random
hybrid_sort,15,40,1,215.00,107.00,random
insertion_sort,NA,40,1,39.00,0,sorted
quick_sort,NA,40,1,780.00,819.00,sorted
dual_pivot_quick_sort,NA,40,1,780.00,0,sorted
hybrid_sort,15,40,1,744.00,765.00,sorted
insertion_sort,NA,40,1,780.00,780.00,reverse
quick_sort,NA,40,1,780.00,419.00,reverse
dual_pivot_quick_sort,NA,40,1,780.00,20.00,reverse
hybrid_sort,15,40,1,780.00,435.00,reverse
insertion_sort,NA,50,1,701.00,655.00,random
quick_sort,NA,50,1,222.00,147.00,random
