path_length generated_states visited_states solve_time_ms heuristic_type
54 369865 192293 2508.28 linearConflict
42 1462 741 16.248 linearConflict
46 87315 45575 558.938 linearConflict
50 15960 8129 92.709 linearConflict
54 35275 18030 217.774 linearConflict
58 26435 14042 151.6 linearConflict
46 17362 8869 101.771 linearConflict
60 86866 47397 489.426 linearConflict
52 25261 13394 152.395 linearConflict
64 142775 76346 967.01 linearConflict
46 9188 4657 57.146 linearConflict
52 119168 62529 780.568 linearConflict
48 18557 9483 121.41 linearConflict
60 93887 50302 563.166 linearConflict
58 166253 88103 973.192 linearConflict
54 46776 24926 299.597 linearConflict
44 14145 7406 94.971 linearConflict
62 270558 140544 1659.09 linearConflict
48 43023 22265 269.335 linearConflict
60 72199 38504 423.828 linearConflict
60 103430 55001 568.661 linearConflict
58 158177 84216 977.656 linearConflict
52 142379 75547 879.57 linearConflict
56 24858 12796 136.987 linearConflict
62 312334 165185 1886.14 linearConflict
52 31739 16410 184.171 linearConflict
48 24486 12647 156.888 linearConflict
58 132577 70121 782.678 linearConflict
44 6828 3492 48.466 linearConflict
58 199485 103724 1185.56 linearConflict
62 240606 126863 1474 linearConflict
54 45918 24235 275.313 linearConflict
66 974090 528302 6993.27 linearConflict
60 40677 21740 233.314 linearConflict
66 1188219 628390 7490.33 linearConflict
60 181463 95402 1020.93 linearConflict
66 638888 337051 3892.8 linearConflict
62 261490 137731 1522.56 linearConflict
64 442482 237688 2767.06 linearConflict
54 26328 13656 163.461 linearConflict
58 81476 42339 465.852 linearConflict
58 248734 134344 1476.48 linearConflict
48 48253 24633 326.767 linearConflict
66 1724476 940299 16976.6 linearConflict
44 12141 6257 75.756 linearConflict
56 56588 29418 317.931 linearConflict
54 32386 16611 185.419 linearConflict
56 12538 6710 72.476 linearConflict
48 13073 6938 79.192 linearConflict
58 113343 58243 681.521 linearConflict
52 117459 60912 718.858 linearConflict
54 122439 63791 748.412 linearConflict
66 593914 312254 3595.85 linearConflict
54 175137 92664 1088.22 linearConflict
42 7480 3741 50.701 linearConflict
50 84595 44573 516.315 linearConflict
68 1246923 691501 8401.32 linearConflict
54 85991 45862 490.174 linearConflict
50 80670 41130 487.496 linearConflict
60 620817 328009 3888.14 linearConflict
50 43655 22474 265.066 linearConflict
56 303919 157757 1866.39 linearConflict
50 32494 16549 197.596 linearConflict
56 110956 57967 661.564 linearConflict
52 22854 11839 135.51 linearConflict
58 497305 256622 3150.5 linearConflict
62 430959 229878 2557.89 linearConflict
50 34221 17411 213.558 linearConflict
56 113446 58778 668.166 linearConflict
52 193469 98304 1229.89 linearConflict
50 15500 7788 92.331 linearConflict
48 12401 6457 78.696 linearConflict
62 394481 208617 2407.31 linearConflict
60 284610 150827 1687.88 linearConflict
52 23118 12024 138.181 linearConflict
50 14068 7145 80.883 linearConflict
52 44847 24448 283.764 linearConflict
62 312599 165060 1938.25 linearConflict
52 127178 67681 811.234 linearConflict
54 81809 43558 469.157 linearConflict
56 12582 6421 79.711 linearConflict
52 73357 37935 454.91 linearConflict
48 31577 16480 202.708 linearConflict
62 103871 55342 616.326 linearConflict
56 74022 38778 447.469 linearConflict
50 66439 34488 390.105 linearConflict
46 17937 9172 113.28 linearConflict
50 34382 18020 251.467 linearConflict
58 97808 50628 573.925 linearConflict
54 64799 34181 387.893 linearConflict
62 151958 81488 831.793 linearConflict
56 73028 37960 456.642 linearConflict
50 17636 9199 107.253 linearConflict
54 46459 24403 268.429 linearConflict
54 116570 61533 732.558 linearConflict
56 81888 43316 499.708 linearConflict
48 7150 3725 44.828 linearConflict
58 142572 76273 871.933 linearConflict
62 183130 94937 1089.82 linearConflict
58 346762 188436 2084.37 linearConflict
