path_length generated_states visited_states solve_time_ms heuristic_type
56 271136 143273 1090.69 manhattan
48 138072 70741 507.411 manhattan
52 70112 36062 234.19 manhattan
58 390836 204428 1524.93 manhattan
62 1090169 592538 4738.3 manhattan
60 617805 327490 2618.04 manhattan
56 287831 149051 1142.03 manhattan
54 382552 202414 1588.08 manhattan
46 43967 22595 160.357 manhattan
48 64168 32971 223.836 manhattan
60 1727782 901913 7631.4 manhattan
64 503055 270277 2028.69 manhattan
56 399598 212239 1700.37 manhattan
54 283512 148452 1090.27 manhattan
54 119463 62612 436.873 manhattan
60 348882 185165 1428.92 manhattan
54 354455 183557 1466.18 manhattan
48 78848 40746 300.433 manhattan
48 21745 11408 76.076 manhattan
56 463764 245083 1976.52 manhattan
56 485571 257254 2068.77 manhattan
56 580534 309100 2537.37 manhattan
56 715062 369338 3051.09 manhattan
62 2594552 1418074 13192.1 manhattan
60 737074 391934 3241.95 manhattan
50 291253 153522 1130.03 manhattan
56 328072 172927 1303.31 manhattan
54 152685 79470 594.729 manhattan
56 283789 152116 1049.85 manhattan
58 364733 195777 1331.64 manhattan
52 182922 96052 645.452 manhattan
60 856549 462210 3867.33 manhattan
56 806039 427628 3527.31 manhattan
62 825581 440346 3617.24 manhattan
54 111044 57697 409.081 manhattan
62 809734 424915 3314.38 manhattan
58 140198 72358 545.985 manhattan
52 92635 47617 327.093 manhattan
56 134358 70100 611.39 manhattan
64 1791537 958457 8387.47 manhattan
60 806056 422618 3332.95 manhattan
60 214063 113294 791.218 manhattan
54 655051 346866 2565.38 manhattan
64 1874456 1012344 8655.8 manhattan
58 391626 208761 1524.14 manhattan
58 87071 46353 303.37 manhattan
50 8980 4607 31.528 manhattan
70 7736584 4170201 39253.9 manhattan
58 213704 112523 784.281 manhattan
56 578261 309021 2235.77 manhattan
54 313597 164682 1107.64 manhattan
52 50691 26906 176.695 manhattan
48 386862 202945 1442.64 manhattan
52 94429 49054 332.72 manhattan
68 3484336 1929164 16391.1 manhattan
62 895524 474388 3509.36 manhattan
60 669815 354202 2525.78 manhattan
46 133054 69333 538.641 manhattan
56 177632 92729 631.444 manhattan
56 160628 83648 571.151 manhattan
54 916780 483102 3706.94 manhattan
52 82970 42905 348.692 manhattan
46 76077 38754 266.943 manhattan
56 737471 391938 2933.06 manhattan
62 182161 97663 648.039 manhattan
52 452200 238590 1745.77 manhattan
56 191061 101914 681.463 manhattan
52 84754 43594 285.608 manhattan
60 1641752 868674 7167.43 manhattan
56 293154 154409 1048.63 manhattan
46 82103 42393 317.843 manhattan
58 381736 202703 1395.65 manhattan
58 407937 216380 1557.69 manhattan
54 413872 218778 1512.86 manhattan
60 414074 215403 1535.32 manhattan
60 1545122 833210 6742.65 manhattan
52 178642 92553 614.146 manhattan
40 6521 3348 25.736 manhattan
54 391947 203375 1426.69 manhattan
56 471767 244339 1759.77 manhattan
58 537086 286061 2173.22 manhattan
58 226799 119826 850.77 manhattan
54 115647 61520 502.19 manhattan
58 86358 45122 307.006 manhattan
52 42002 22378 141.032 manhattan
58 348674 179056 1310.87 manhattan
60 598294 318609 2285.67 manhattan
56 415750 220275 1647.4 manhattan
56 286431 152154 1067.86 manhattan
58 331903 175094 1205.84 manhattan
50 286883 147945 1009.69 manhattan
60 1120402 590436 4484.97 manhattan
60 759980 402600 2996.2 manhattan
62 1520338 797699 6324.51 manhattan
52 43188 23063 159.986 manhattan
60 447910 235643 1632.65 manhattan
54 182084 96772 658.067 manhattan
66 1628770 876341 6548.15 manhattan
58 1438317 771965 7124.69 manhattan
56 184656 96643 655.597 manhattan
