Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
insertion_sort,NA,10,1,35.00,29.00
quick_sort,NA,10,1,21.00,15.00
dual_pivot_quick_sort,NA,10,1,22.00,8.00
hybrid_sort,15,10,1,24.00,16.00
insertion_sort,NA,20,1,81.00,65.00
quick_sort,NA,20,1,69.00,38.00
dual_pivot_quick_sort,NA,20,1,85.00,31.00
hybrid_sort,15,20,1,63.00,23.00
insertion_sort,NA,30,1,279.00,252.00
quick_sort,NA,30,1,124.00,79.00
dual_pivot_quick_sort,NA,30,1,111.00,53.00
hybrid_sort,15,30,1,153.00,59.00
insertion_sort,NA,40,1,378.00,342.00
quick_sort,NA,40,1,264.00,168.00
dual_pivot_quick_sort,NA,40,1,177.00,68.00
hybrid_sort,15,40,1,224.00,98.00
insertion_sort,NA,50,1,647.00,603.00
quick_sort,NA,50,1,231.00,133.00
dual_pivot_quick_sort,NA,50,1,299.00,99.00
hybrid_sort,15,50,1,425.00,139.00
insertion_sort,NA,10,10,27.10,19.90
quick_sort,NA,10,10,25.40,17.60
dual_pivot_quick_sort,NA,10,10,24.40,9.90
hybrid_sort,15,10,10,25.90,18.20
insertion_sort,NA,20,10,113.10,96.80
quick_sort,NA,20,10,72.30,47.60
dual_pivot_quick_sort,NA,20,10,64.40,27.70
hybrid_sort,15,20,10,72.00,44.30
insertion_sort,NA,30,10,249.40,224.30
quick_sort,NA,30,10,126.00,79.90
dual_pivot_quick_sort,NA,30,10,123.40,49.30
hybrid_sort,15,30,10,135.10,80.80
insertion_sort,NA,40,10,437.90,402.90
quick_sort,NA,40,10,189.50,122.30
dual_pivot_quick_sort,NA,40,10,182.50,74.30
hybrid_sort,15,40,10,189.50,125.20
insertion_sort,NA,50,10,615.10,568.30
quick_sort,NA,50,10,256.10,158.20
dual_pivot_quick_sort,NA,50,10,249.40,91.00
hybrid_sort,15,50,10,271.30,157.80
insertion_sort,NA,10,100,28.80,21.51
quick_sort,NA,10,100,24.22,17.51
dual_pivot_quick_sort,NA,10,100,24.12,9.52
hybrid_sort,15,10,100,28.86,21.64
insertion_sort,NA,20,100,107.87,91.22
quick_sort,NA,20,100,69.24,45.00
dual_pivot_quick_sort,NA,20,100,68.31,26.57
hybrid_sort,15,20,100,74.44,44.98
insertion_sort,NA,30,100,245.25,219.23
quick_sort,NA,30,100,129.14,82.97
dual_pivot_quick_sort,NA,30,100,120.38,50.11
hybrid_sort,15,30,100,133.50,82.13
insertion_sort,NA,40,100,427.08,391.28
quick_sort,NA,40,100,191.49,115.64
