Algorithm,n,k,AvgComparisons
merge_sort,10,1,23.00
adaptive_merge_sort,10,1,25.00
merge_sort,20,1,60.00
adaptive_merge_sort,20,1,77.00
merge_sort,30,1,113.00
adaptive_merge_sort,30,1,124.00
merge_sort,40,1,168.00
adaptive_merge_sort,40,1,189.00
merge_sort,50,1,221.00
adaptive_merge_sort,50,1,256.00
merge_sort,10,10,22.90
adaptive_merge_sort,10,10,28.30
merge_sort,20,10,64.20
adaptive_merge_sort,20,10,74.80
merge_sort,30,10,110.50
adaptive_merge_sort,30,10,129.10
merge_sort,40,10,166.60
adaptive_merge_sort,40,10,192.70
merge_sort,50,10,222.10
adaptive_merge_sort,50,10,249.30
merge_sort,10,100,22.74
adaptive_merge_sort,10,100,27.45
merge_sort,20,100,63.35
adaptive_merge_sort,20,100,74.97
merge_sort,30,100,111.09
adaptive_merge_sort,30,100,128.02
merge_sort,40,100,165.52
adaptive_merge_sort,40,100,192.30
merge_sort,50,100,221.88
adaptive_merge_sort,50,100,250.05
merge_sort,1000,1,8694.00
adaptive_merge_sort,1000,1,9193.00
merge_sort,2000,1,19412.00
adaptive_merge_sort,2000,1,20419.00
merge_sort,3000,1,30973.00
adaptive_merge_sort,3000,1,32746.00
merge_sort,4000,1,42877.00
adaptive_merge_sort,4000,1,44886.00
merge_sort,5000,1,55275.00
adaptive_merge_sort,5000,1,59357.00
merge_sort,6000,1,67808.00
adaptive_merge_sort,6000,1,71458.00
merge_sort,7000,1,80738.00
adaptive_merge_sort,7000,1,84772.00
merge_sort,8000,1,93691.00
adaptive_merge_sort,8000,1,97778.00
merge_sort,9000,1,106921.00
adaptive_merge_sort,9000,1,116641.00
merge_sort,10000,1,120437.00
adaptive_merge_sort,10000,1,128762.00
merge_sort,11000,1,134075.00
adaptive_merge_sort,11000,1,141981.00
merge_sort,12000,1,147626.00
adaptive_merge_sort,12000,1,154820.00
merge_sort,13000,1,161337.00
adaptive_merge_sort,13000,1,170446.00
merge_sort,14000,1,175458.00
adaptive_merge_sort,14000,1,183342.00
merge_sort,15000,1,189428.00
adaptive_merge_sort,15000,1,197740.00
merge_sort,16000,1,203206.00
adaptive_merge_sort,16000,1,211746.00
merge_sort,17000,1,217545.00
adaptive_merge_sort,17000,1,239977.00
merge_sort,18000,1,232036.00
adaptive_merge_sort,18000,1,251471.00
merge_sort,19000,1,246364.00
adaptive_merge_sort,19000,1,264676.00
merge_sort,20000,1,261022.00
adaptive_merge_sort,20000,1,277311.00
merge_sort,21000,1,275344.00
adaptive_merge_sort,21000,1,292872.00
merge_sort,22000,1,290060.00
adaptive_merge_sort,22000,1,305949.00
merge_sort,23000,1,304485.00
adaptive_merge_sort,23000,1,319823.00
merge_sort,24000,1,319423.00
adaptive_merge_sort,24000,1,333734.00
merge_sort,25000,1,334019.00
adaptive_merge_sort,25000,1,354095.00
merge_sort,26000,1,348905.00
adaptive_merge_sort,26000,1,366699.00
merge_sort,27000,1,363738.00
adaptive_merge_sort,27000,1,381324.00
merge_sort,28000,1,378714.00
adaptive_merge_sort,28000,1,394681.00
merge_sort,29000,1,393422.00
adaptive_merge_sort,29000,1,411697.00
merge_sort,30000,1,408784.00
adaptive_merge_sort,30000,1,425477.00
merge_sort,31000,1,423725.00
adaptive_merge_sort,31000,1,440790.00
merge_sort,32000,1,438580.00
adaptive_merge_sort,32000,1,455255.00
merge_sort,33000,1,453808.00
adaptive_merge_sort,33000,1,500387.00
merge_sort,34000,1,469148.00
adaptive_merge_sort,34000,1,512484.00
merge_sort,35000,1,484586.00
adaptive_merge_sort,35000,1,525481.00
merge_sort,36000,1,499810.00
adaptive_merge_sort,36000,1,538054.00
merge_sort,37000,1,515348.00
adaptive_merge_sort,37000,1,554782.00
merge_sort,38000,1,530805.00
adaptive_merge_sort,38000,1,566619.00
merge_sort,39000,1,546230.00
adaptive_merge_sort,39000,1,581292.00
merge_sort,40000,1,561850.00
adaptive_merge_sort,40000,1,594743.00
merge_sort,41000,1,577418.00
adaptive_merge_sort,41000,1,616061.00
merge_sort,42000,1,592887.00
adaptive_merge_sort,42000,1,628065.00
merge_sort,43000,1,608609.00
adaptive_merge_sort,43000,1,642740.00
merge_sort,44000,1,624143.00
adaptive_merge_sort,44000,1,655492.00
merge_sort,45000,1,639915.00
adaptive_merge_sort,45000,1,672903.00
merge_sort,46000,1,655479.00
adaptive_merge_sort,46000,1,685990.00
merge_sort,47000,1,670884.00
adaptive_merge_sort,47000,1,701993.00
merge_sort,48000,1,686959.00
