n,comparisons,swaps
100,196,112
200,365,181
300,565,284
400,777,396
500,951,470
600,1098,518
700,1259,579
800,1508,729
900,1701,823
1000,2071,1094
1100,2287,1210
1200,2409,1231
1300,2490,1213
1400,2701,1325
1500,3214,1738
1600,3305,1728
1700,3415,1739
1800,3534,1758
1900,3737,1861
2000,3774,1797
2100,4408,2331
2200,4625,2449
2300,4493,2218
2400,4728,2351
2500,5086,2611
2600,4849,2271
2700,5590,2917
2800,5353,2577
2900,6017,3141
3000,5227,2251
3100,6473,3399
3200,6183,3009
3300,6316,3042
3400,7205,3832
3500,6177,2701
3600,7352,3781
3700,7147,3473
3800,7079,3304
3900,6894,3019
4000,8509,4537
4100,8375,4302
4200,9385,5212
4300,8596,4321
4400,9583,5211
4500,8562,4088
4600,9456,4883
4700,10069,5396
4800,9564,4790
4900,9968,5094
5000,10239,5268
5100,10281,5211
5200,9669,4494
5300,10520,5247
5400,9947,4571
5500,10858,5385
5600,11351,5778
5700,11754,6082
5800,11633,5859
5900,11460,5588
6000,12388,6416
6100,12102,6030
6200,12263,6090
6300,11350,5077
6400,12534,6161
6500,12393,5922
6600,12870,6299
6700,13937,7265
6800,13403,6631
6900,13496,6623
7000,13694,6722
7100,14162,7089
7200,14172,6999
7300,13977,6705
7400,14617,7243
7500,14559,7088
7600,14821,7250
7700,15780,8109
7800,16373,8601
7900,17418,9546
8000,15806,7835
8100,16224,8155
8200,16568,8397
8300,16157,7884
8400,17311,8939
8500,17089,8618
8600,16222,7650
8700,16236,7562
8800,17093,8320
8900,18664,9794
9000,18724,9754
9100,18830,9759
9200,19256,10086
9300,17580,8309
9400,19388,10017
9500,19519,10048
9600,20122,10553
9700,18567,8895
9800,20367,10597
9900,19842,9970
10000,19620,9647
10100,21143,11073
10200,20823,10653
10300,19467,9197
10400,23280,12911
10500,20134,9660
10600,20873,10300
10700,20196,9525
10800,19330,8557
10900,22459,11588
11000,20217,9244
11100,22942,11873
11200,22229,11057
11300,22370,11099
11400,23306,11938
11500,22963,11492
11600,24057,12488
11700,21731,10058
11800,23616,11845
11900,23387,11517
12000,22224,10252
12100,24833,12764
12200,22667,10497
12300,24003,11731
12400,24392,12022
12500,23384,10914
12600,25692,13122
12700,24880,12209
12800,27442,14670
12900,26336,13466
13000,27122,14151
13100,23472,10402
13200,25582,12411
13300,25379,12109
13400,25849,12478
13500,26188,12718
13600,27309,13738
13700,27265,13594
13800,28952,15181
13900,26000,12130
14000,29111,15142
14100,28848,14776
14200,29420,15253
14300,26968,12696
14400,27993,13622
14500,28384,13912
14600,31394,16823
14700,28416,13746
14800,30476,15705
14900,31204,16334
15000,32375,17406
15100,29185,14116
15200,29767,14598
15300,31119,15851
15400,31863,16495
15500,29172,13701
15600,30145,14574
15700,29523,13855
15800,30580,14810
15900,32016,16149
16000,31386,15419
16100,32083,16015
16200,30541,14373
16300,31176,14908
16400,36540,20174
16500,32457,15988
16600,33400,16830
16700,31691,15020
16800,36450,19682
16900,31337,14467
17000,32041,15069
17100,31929,14860
17200,30607,13435
17300,34047,16777
17400,37129,19760
17500,36747,19277
17600,34491,16921
17700,37116,19448
17800,35496,17725
17900,38457,20587
18000,36072,18105
18100,37515,19446
18200,35384,17215
18300,38997,20731
18400,35570,17200
18500,34550,16081
18600,36466,17897
18700,38358,19689
18800,36015,17244
18900,36379,17509
19000,37518,18549
19100,39037,19968
19200,40446,21278
19300,38093,18823
19400,37482,18113
19500,38989,19518
19600,38134,18565
19700,38442,18773
19800,38929,19160
19900,39524,19656
20000,42198,22229
20100,36969,16898
20200,44620,24452
20300,39758,19490
20400,42903,22535
20500,42383,21914
20600,42368,21802
20700,40828,20159
20800,42041,21270
20900,39095,18226
21000,40349,19380
21100,41370,20298
21200,42131,20962
21300,46459,25191
21400,40318,18946
21500,44107,22639
