n,comparisons,swaps
100,691,158
200,1478,316
300,2295,482
400,3125,643
500,3935,803
600,4761,965
700,5637,1129
800,6442,1280
900,7339,1450
1000,8140,1597
1100,9011,1773
1200,9952,1953
1300,10734,2105
1400,11601,2263
1500,12486,2433
1600,13289,2582
1700,14199,2749
1800,15135,2923
1900,16038,3096
2000,16917,3255
2100,17765,3416
2200,18490,3549
2300,19477,3738
2400,20481,3932
2500,21270,4078
2600,22059,4222
2700,23084,4415
2800,23814,4549
2900,24501,4665
3000,25622,4898
3100,26146,4983
3200,27564,5262
3300,28303,5394
3400,29241,5557
3500,29999,5684
3600,31035,5893
3700,31858,6040
3800,32759,6205
3900,33532,6347
4000,34404,6507
4100,35567,6733
4200,36204,6850
4300,37308,7044
4400,38083,7184
4500,38700,7302
4600,39609,7463
4700,40735,7684
4800,41625,7850
4900,42448,7999
5000,43387,8174
5100,44323,8366
5200,44938,8468
5300,45829,8630
5400,46757,8800
5500,47625,8965
5600,48941,9227
5700,49555,9322
5800,50481,9498
5900,51553,9705
6000,52434,9844
6100,53525,10073
6200,53822,10107
6300,55045,10349
6400,56119,10555
6500,56759,10669
6600,57383,10787
6700,58688,11021
6800,59419,11138
6900,60377,11307
7000,60915,11394
7100,62101,11601
7200,62747,11733
7300,64089,11985
7400,65040,12167
7500,65289,12196
7600,66572,12442
7700,67787,12678
7800,68631,12832
7900,69245,12947
8000,69905,13067
8100,70437,13168
8200,71996,13463
8300,73007,13647
8400,73508,13719
8500,74019,13799
8600,75321,14039
8700,76579,14284
8800,77207,14384
8900,78036,14548
9000,79125,14738
9100,79961,14904
9200,81071,15108
9300,81988,15259
9400,82438,15332
9500,83206,15477
9600,84466,15703
9700,84971,15793
9800,86511,16111
9900,87370,16232
10000,88175,16415
10100,89014,16564
10200,89885,16723
10300,90852,16897
10400,91739,17057
10500,92695,17249
10600,93701,17428
10700,94625,17586
10800,95242,17705
10900,96377,17918
11000,97405,18110
11100,98433,18303
11200,99482,18513
11300,100208,18647
11400,100361,18621
11500,101822,18918
11600,102758,19095
11700,103573,19234
11800,104299,19387
11900,105775,19659
12000,106077,19690
12100,107339,19936
12200,108206,20102
12300,108913,20211
12400,109473,20332
12500,110395,20506
12600,111866,20788
12700,112392,20887
12800,112916,20967
12900,113876,21145
13000,114984,21363
13100,116204,21564
13200,117011,21709
13300,118083,21919
13400,118905,22065
13500,119764,22203
13600,120407,22311
13700,121364,22511
13800,122154,22629
13900,123445,22873
14000,124221,23017
14100,125322,23235
14200,125808,23312
14300,126956,23500
14400,127408,23575
14500,129200,23932
14600,129643,24016
14700,130522,24177
14800,131140,24281
14900,132382,24487
15000,132423,24505
15100,134107,24834
15200,135406,25067
15300,135999,25189
15400,136853,25321
15500,138239,25575
15600,138443,25629
15700,139196,25753
15800,140855,26062
15900,141583,26195
16000,142240,26329
16100,143172,26494
16200,143767,26582
16300,144921,26793
16400,145586,26923
16500,146977,27191
16600,147607,27302
16700,148557,27456
16800,148662,27441
16900,149636,27609
17000,151474,27988
17100,151944,28074
17200,152935,28260
17300,154411,28529
17400,154736,28555
17500,155828,28767
17600,156244,28825
17700,157052,28953
17800,158448,29202
17900,159396,29431
18000,159915,29474
18100,160649,29624
18200,161840,29852
18300,163300,30128
18400,163732,30183
18500,164578,30329
18600,164762,30366
18700,166518,30684
18800,167070,30786
18900,167964,30993
19000,169411,31227
19100,170034,31329
19200,171191,31530
19300,171685,31641
19400,173245,31958
19500,173915,32053
19600,174607,32151
19700,175288,32272
19800,176807,32602
19900,177646,32739
20000,178001,32814
20100,179401,33109
20200,180079,33194
20300,181258,33430
20400,182534,33674
20500,183384,33813
20600,184062,33921
20700,184257,33951
20800,186259,34369
20900,186962,34473
21000,187623,34573
21100,188229,34687
21200,189657,34961
21300,190029,34996
21400,190963,35175
21500,192143,35398
21600,193201,35611
21700,193345,35596
21800,195325,35981
21900,195461,35988
22000,195548,35958
22100,197886,36431
22200,198006,36466
22300,199950,36823
22400,199375,36696
22500,200832,36971
22600,201590,37106
22700,203715,37532
22800,203580,37448
22900,204796,37734
23000,205371,37791
23100,206093,37906
23200,207615,38223
23300,208566,38392
23400,208423,38343
23500,209356,38503
23600,211257,38870
23700,212042,39006
23800,213523,39284
23900,213729,39328
24000,214465,39463
24100,214838,39537
24200,217151,39964
24300,216775,39866
24400,218335,40137
24500,219386,40372
24600,220553,40582
24700,221199,40697
24800,221592,40764
24900,223539,41152
25000,223731,41178
25100,224557,41311
25200,225630,41484
25300,226451,41698
25400,227259,41823
25500,228155,41965
25600,228816,42098
25700,230459,42385
25800,231268,42538
25900,231015,42488
26000,233207,42925
26100,233798,43013
26200,234918,43209
26300,234376,43078
26400,236691,43545
26500,236536,43527
26600,238704,43910
26700,239889,44130
26800,239929,44093
26900,240779,44263
27000,242819,44653
27100,243032,44694
27200,244529,44961
27300,244379,44915
27400,246175,45252
27500,246727,45317
27600,247567,45486
27700,248335,45666
27800,249397,45850
27900,248280,45610
28000,251121,46153
28100,252113,46304
28200,253690,46606
28300,254482,46794
28400,255269,46897
28500,256150,47062
28600,256211,47050
28700,257535,47282
28800,258428,47467
28900,258982,47579
29000,259876,47711
29100,260915,47906
29200,261121,47938
29300,263226,48322
29400,263736,48371
29500,265039,48656
29600,264871,48632
29700,265783,48821
29800,268004,49225
29900,268005,49223
30000,268858,49339
30100,270185,49620
30200,271365,49820
30300,271780,49922
30400,273054,50143
30500,274256,50373
30600,273920,50290
30700,276264,50721
30800,276005,50609
30900,277770,50982
31000,277068,50851
31100,277738,50971
31200,279567,51315
31300,281320,51658
31400,281928,51731
31500,283048,51954
31600,283087,51963
31700,284268,52199
31800,285661,52436
31900,287483,52761
32000,287579,52794
32100,287896,52864
32200,289316,53099
32300,289365,53112
32400,289563,53129
32500,292488,53696
32600,292829,53720
32700,293153,53757
32800,294966,54145
32900,296137,54352
33000,296042,54331
33100,297077,54527
33200,298550,54760
33300,299348,54907
33400,299008,54836
33500,301147,55199
33600,302216,55438
33700,301981,55367
33800,304440,55843
33900,304223,55768
34000,306290,56165
34100,307220,56332
34200,307254,56337
34300,307684,56367
34400,308729,56564
34500,308829,56576
34600,311456,57078
34700,312407,57230
34800,312062,57174
34900,312743,57263
35000,314418,57602
35100,315596,57836
35200,314673,57642
35300,317216,58071
35400,317800,58204
35500,318825,58397
35600,320744,58750
35700,320531,58690
35800,321754,58929
35900,323900,59335
36000,324214,59353
36100,325232,59583
36200,325399,59598
36300,326502,59768
36400,326586,59802
36500,328662,60168
36600,328546,60139
36700,328479,60115
36800,331214,60617
36900,332034,60793
37000,333893,61173
37100,333650,61039
37200,333066,60958
37300,336371,61559
37400,337569,61788
37500,336548,61601
37600,339091,62106
37700,339148,62056
37800,340236,62316
37900,341309,62468
38000,342627,62719
38100,343153,62810
38200,342102,62611
38300,344919,63135
38400,346185,63377
38500,346561,63436
38600,347467,63623
38700,348237,63745
38800,349234,63903
38900,349020,63862
39000,350337,64120
39100,353111,64631
39200,353719,64763
39300,354157,64826
39400,354474,64841
39500,355185,65030
39600,356942,65342
39700,357934,65523
39800,359594,65837
39900,359265,65751
40000,360657,66035
40100,360389,65997
40200,362398,66337
40300,363190,66517
40400,363446,66533
40500,365444,66905
40600,366898,67215
40700,365612,66884
40800,367628,67229
40900,369260,67604
41000,369067,67534
41100,370995,67900
41200,372217,68151
41300,371928,68078
41400,372489,68198
41500,373740,68406
41600,376083,68830
41700,374930,68613
41800,376250,68855
41900,376074,68806
42000,378677,69324
42100,379930,69523
42200,380636,69645
42300,381941,69878
42400,382414,69982
42500,383457,70153
42600,384688,70371
42700,385288,70467
42800,386438,70683
42900,387746,70930
43000,387737,70909
43100,389073,71171
43200,389795,71278
43300,391211,71550
43400,392365,71763
43500,392986,71834
43600,393764,71989
43700,393917,72048
43800,394844,72205
43900,395683,72333
44000,397762,72710
44100,396998,72581
44200,398087,72801
44300,398492,72820
44400,399786,73047
44500,400590,73218
44600,402901,73654
44700,403254,73733
44800,403407,73725
44900,405627,74173
45000,404878,74019
45100,406213,74225
45200,408691,74715
45300,407999,74534
45400,409681,74883
45500,411020,75133
45600,410187,74941
45700,411897,75244
45800,412286,75300
45900,413641,75607
46000,414179,75655
46100,416641,76184
46200,417129,76234
46300,417100,76250
46400,416701,76157
46500,419580,76650
46600,420481,76845
46700,421556,77024
46800,423648,77409
46900,423299,77322
47000,424884,77628
47100,425836,77820
47200,425150,77654
47300,426883,77996
47400,427082,78009
47500,429244,78430
47600,429828,78505
47700,430752,78720
47800,431617,78830
47900,433037,79117
48000,433042,79119
48100,433570,79201
48200,434898,79439
48300,436697,79754
48400,437276,79864
48500,437954,80002
48600,437415,79877
48700,440643,80522
48800,440978,80582
48900,442338,80832
49000,441034,80582
49100,440411,80462
49200,445507,81419
49300,445302,81366
49400,445881,81437
49500,446542,81611
49600,447885,81818
49700,449757,82195
49800,450851,82405
49900,450694,82376
50000,452199,82581
