n,comparisons,swaps,time
100,249,78,80
200,715,210,73
300,1200,343,65
400,1526,427,69
500,4280,1186,6
600,5355,1467,6
700,6278,1709,7
800,7256,1960,7
900,8175,2198,7
1000,9074,2429,7
1100,10199,2720,8
1200,11346,3023,7
1300,12248,3254,7
1400,13291,3519,8
1500,14334,3790,7
1600,15408,4052,7
1700,16422,4312,9
1800,17515,4596,7
1900,18326,4786,8
2000,19378,5068,8
2100,20487,5342,8
2200,21139,5499,9
2300,22631,5898,8
2400,23704,6153,9
2500,24759,6416,8
2600,25633,6637,9
2700,26673,6894,8
2800,27616,7126,11
2900,28487,7336,10
3000,30108,7770,21
3100,30997,7987,16
3200,32010,8225,9
3300,33349,8596,7
3400,34237,8787,8
3500,35480,9099,10
3600,36585,9366,9
3700,36881,9427,8
3800,38456,9835,9
3900,39228,10037,9
4000,40540,10363,10
4100,41542,10618,11
4200,42362,10818,10
4300,43486,11094,10
4400,44871,11442,10
4500,45526,11593,10
4600,47061,11982,10
4700,47692,12137,10
4800,49495,12578,11
4900,50351,12796,11
5000,51487,13079,10
5100,52283,13277,12
5200,53062,13460,12
5300,53914,13673,10
5400,55703,14115,11
5500,56861,14398,11
5600,57526,14565,11
5700,59045,14974,11
5800,59668,15104,12
5900,61355,15583,11
6000,62120,15746,11
6100,63363,16059,12
6200,64794,16419,11
6300,65438,16537,12
6400,66773,16882,10
6500,67426,17032,11
6600,68356,17249,12
6700,69251,17451,13
6800,71003,17912,11
6900,71569,18041,11
7000,72868,18379,11
7100,74128,18655,11
7200,75252,18948,12
7300,75872,19068,12
7400,77349,19448,13
7500,78623,19756,13
7600,79861,20096,12
7700,80191,20123,12
7800,81966,20628,13
7900,83414,20996,12
8000,83691,21063,13
8100,84249,21163,12
8200,85936,21596,13
8300,86391,21699,12
8400,88899,22328,12
8500,89042,22350,15
8600,90538,22718,14
8700,91673,23017,13
8800,93269,23428,14
8900,93646,23488,15
9000,94625,23713,12
9100,96373,24171,13
9200,97288,24388,15
9300,98840,24762,14
9400,99559,24939,15
9500,100770,25231,14
9600,102334,25641,14
9700,103186,25848,15
9800,104480,26167,15
9900,104918,26231,14
10000,106519,26648,15
10100,107095,26759,14
10200,108703,27162,16
10300,109372,27337,16
10400,110310,27580,16
10500,112159,28042,15
10600,113186,28272,15
10700,113373,28287,16
10800,114414,28526,17
10900,116474,29080,15
11000,115646,28843,17
11100,119048,29735,17
11200,119526,29808,15
11300,120643,30076,16
11400,122048,30466,16
11500,122777,30628,15
11600,123938,30946,16
11700,124380,31042,15
11800,126978,31731,15
11900,127699,31883,16
12000,128042,31946,16
12100,130389,32547,16
12200,131207,32741,15
12300,131420,32745,17
12400,132329,32954,16
12500,133543,33279,16
12600,135015,33645,16
