n,scenario,comparisons,time_microsec
1000,beginning,17,0.07
1000,middle,17,0.062
1000,end,19,0.066
1000,absent,20,0.075
1000,random,17,0.07
2000,beginning,19,0.056
2000,middle,19,0.076
2000,end,21,0.073
2000,absent,22,0.072
2000,random,21,0.075
3000,beginning,21,0.058
3000,middle,21,0.057
3000,end,23,0.062
3000,absent,24,0.065
3000,random,17,0.047
4000,beginning,21,0.057
4000,middle,21,0.057
4000,end,23,0.081
4000,absent,24,0.089
4000,random,23,0.084
5000,beginning,23,0.077
5000,middle,23,0.199
5000,end,25,0.089
5000,absent,26,0.088
5000,random,21,0.069
6000,beginning,23,0.076
6000,middle,23,0.076
6000,end,25,0.09
6000,absent,26,0.086
6000,random,25,0.094
7000,beginning,23,0.077
7000,middle,23,0.077
7000,end,25,0.108
7000,absent,26,0.088
7000,random,23,0.081
8000,beginning,23,0.083
8000,middle,23,0.076
8000,end,25,0.084
8000,absent,26,0.095
8000,random,25,0.092
9000,beginning,25,0.109
9000,middle,25,0.114
9000,end,27,0.12
9000,absent,28,0.12
9000,random,27,0.105
10000,beginning,25,0.086
10000,middle,25,0.082
10000,end,27,0.092
10000,absent,28,0.093
10000,random,23,0.084
11000,beginning,25,0.103
11000,middle,25,0.118
11000,end,27,0.102
11000,absent,28,0.099
11000,random,15,0.052
12000,beginning,25,0.087
12000,middle,25,0.095
12000,end,27,0.096
12000,absent,28,0.108
12000,random,23,0.091
13000,beginning,25,0.091
13000,middle,25,0.096
13000,end,27,0.104
13000,absent,28,0.118
13000,random,25,0.271
14000,beginning,25,0.254
14000,middle,25,0.104
14000,end,27,0.104
14000,absent,28,0.106
14000,random,27,0.095
15000,beginning,25,0.087
15000,middle,25,0.09
15000,end,27,0.097
15000,absent,28,0.109
15000,random,25,0.086
16000,beginning,25,0.085
16000,middle,25,0.085
16000,end,27,0.255
16000,absent,28,0.1
16000,random,25,0.09
17000,beginning,27,0.089
17000,middle,27,0.447
17000,end,29,0.079
17000,absent,30,0.098
17000,random,21,0.057
18000,beginning,27,0.073
18000,middle,27,0.073
18000,end,29,0.078
18000,absent,30,0.082
18000,random,23,0.062
19000,beginning,27,0.073
19000,middle,27,0.073
19000,end,29,0.078
19000,absent,30,0.102
19000,random,17,0.047
20000,beginning,27,0.074
20000,middle,27,0.073
20000,end,29,0.078
20000,absent,30,0.083
20000,random,23,0.062
21000,beginning,27,0.073
21000,middle,27,0.073
21000,end,29,0.095
21000,absent,30,0.279
21000,random,25,0.09
22000,beginning,27,0.105
22000,middle,27,0.109
22000,end,29,0.245
22000,absent,30,0.122
22000,random,25,0.083
23000,beginning,27,0.093
23000,middle,27,0.073
23000,end,29,0.078
23000,absent,30,0.097
23000,random,27,0.073
24000,beginning,27,0.095
24000,middle,27,0.763
24000,end,29,0.123
24000,absent,30,0.295
24000,random,27,0.094
25000,beginning,27,0.075
25000,middle,27,0.075
25000,end,29,0.083
25000,absent,30,0.997
25000,random,21,0.074
26000,beginning,27,0.106
26000,middle,27,0.105
26000,end,29,0.135
26000,absent,30,0.326
26000,random,29,0.133
27000,beginning,27,0.122
27000,middle,27,0.125
27000,end,29,0.131
27000,absent,30,0.138
27000,random,29,2.277
28000,beginning,27,0.118
28000,middle,27,0.113
28000,end,29,0.378
28000,absent,30,0.127
28000,random,27,0.098
29000,beginning,27,0.094
29000,middle,27,0.079
29000,end,29,0.106
29000,absent,30,0.26
29000,random,29,0.109
30000,beginning,27,0.101
30000,middle,27,0.1
30000,end,29,0.106
30000,absent,30,0.109
30000,random,29,0.139
31000,beginning,27,0.1
31000,middle,27,0.101
31000,end,29,1.511
31000,absent,30,1.237
31000,random,27,0.107
32000,beginning,27,0.308
32000,middle,27,0.116
32000,end,29,0.127
32000,absent,30,0.132
32000,random,29,0.108
33000,beginning,29,0.276
33000,middle,29,0.115
33000,end,31,0.135
33000,absent,32,0.139
33000,random,29,1.713
34000,beginning,29,0.077
34000,middle,29,0.076
34000,end,31,0.097
34000,absent,32,0.115
34000,random,29,0.086
35000,beginning,29,0.076
35000,middle,29,0.076
35000,end,31,0.09
35000,absent,32,0.095
35000,random,25,0.069
36000,beginning,29,0.077
36000,middle,29,0.084
36000,end,31,0.121
36000,absent,32,0.138
36000,random,27,1.562
37000,beginning,29,0.329
37000,middle,29,1.283
37000,end,31,0.131
37000,absent,32,0.134
37000,random,27,0.104
38000,beginning,29,0.099
38000,middle,29,0.096
38000,end,31,0.093
38000,absent,32,0.095
38000,random,29,0.289
39000,beginning,29,0.136
39000,middle,29,0.102
39000,end,31,0.097
39000,absent,32,0.114
39000,random,25,0.102
40000,beginning,29,0.119
40000,middle,29,0.119
40000,end,31,0.131
40000,absent,32,0.144
40000,random,27,0.113
41000,beginning,29,0.117
41000,middle,29,0.117
41000,end,31,0.127
41000,absent,32,0.138
41000,random,31,0.141
42000,beginning,29,0.12
42000,middle,29,0.124
42000,end,31,0.132
42000,absent,32,0.137
42000,random,29,0.125
43000,beginning,29,0.118
43000,middle,29,0.121
43000,end,31,0.129
43000,absent,32,0.138
43000,random,29,0.12
44000,beginning,29,0.113
44000,middle,29,0.136
44000,end,31,0.146
44000,absent,32,0.141
44000,random,27,0.108
45000,beginning,29,0.129
45000,middle,29,0.243
45000,end,31,0.133
45000,absent,32,0.138
45000,random,29,0.144
46000,beginning,29,0.12
46000,middle,29,0.121
46000,end,31,0.133
46000,absent,32,0.138
46000,random,31,0.307
47000,beginning,29,0.384
47000,middle,29,0.119
47000,end,31,0.305
47000,absent,32,0.139
47000,random,31,0.804
48000,beginning,29,0.283
48000,middle,29,0.121
48000,end,31,0.137
48000,absent,32,0.152
48000,random,25,0.103
49000,beginning,29,0.129
49000,middle,29,0.331
49000,end,31,0.126
49000,absent,32,0.416
49000,random,31,0.252
50000,beginning,29,0.216
50000,middle,29,0.129
50000,end,31,0.133
50000,absent,32,0.387
50000,random,31,0.136
51000,beginning,29,0.095
51000,middle,29,0.081
51000,end,31,0.108
51000,absent,32,0.276
51000,random,23,0.064
52000,beginning,29,0.113
52000,middle,29,0.104
52000,end,31,0.129
52000,absent,32,0.139
52000,random,27,0.099
53000,beginning,29,0.114
53000,middle,29,0.114
53000,end,31,0.326
53000,absent,32,0.129
53000,random,31,0.14
54000,beginning,29,0.127
54000,middle,29,0.107
54000,end,31,0.132
54000,absent,32,0.143
54000,random,31,0.125
55000,beginning,29,0.081
55000,middle,29,0.081
55000,end,31,0.085
55000,absent,32,0.106
55000,random,21,0.058
56000,beginning,29,0.101
56000,middle,29,0.238
56000,end,31,0.128
56000,absent,32,0.147
56000,random,31,0.145
57000,beginning,29,0.126
57000,middle,29,13.081
57000,end,31,0.358
57000,absent,32,0.143
57000,random,31,0.13
58000,beginning,29,0.134
58000,middle,29,0.12
58000,end,31,0.14
58000,absent,32,0.144
58000,random,31,0.128
59000,beginning,29,0.613
59000,middle,29,0.297
59000,end,31,0.166
59000,absent,32,0.403
59000,random,31,0.125
60000,beginning,29,0.12
60000,middle,29,0.105
60000,end,31,0.128
60000,absent,32,0.442
60000,random,29,0.12
61000,beginning,29,0.084
61000,middle,29,0.083
61000,end,31,0.127
61000,absent,32,0.14
61000,random,29,0.111
62000,beginning,29,0.119
62000,middle,29,0.12
62000,end,31,0.113
62000,absent,32,0.25
62000,random,31,0.292
63000,beginning,29,0.107
63000,middle,29,0.209
63000,end,31,0.105
63000,absent,32,0.258
63000,random,27,0.077
64000,beginning,29,0.115
64000,middle,29,0.083
64000,end,31,0.11
64000,absent,32,0.136
64000,random,31,0.333
65000,beginning,29,0.083
65000,middle,29,0.083
65000,end,31,0.087
65000,absent,32,0.106
65000,random,25,0.071
66000,beginning,31,0.121
66000,middle,31,0.138
66000,end,33,0.141
66000,absent,34,0.145
66000,random,31,0.104
67000,beginning,31,0.21
67000,middle,31,0.143
67000,end,33,0.154
67000,absent,34,0.152
67000,random,31,0.334
68000,beginning,31,0.144
68000,middle,31,0.138
68000,end,33,0.149
68000,absent,34,0.18
68000,random,31,0.134
69000,beginning,31,0.731
69000,middle,31,0.891
69000,end,33,0.149
69000,absent,34,0.157
69000,random,33,0.358
70000,beginning,31,0.141
70000,middle,31,0.338
70000,end,33,0.139
70000,absent,34,0.182
70000,random,31,0.143
71000,beginning,31,0.129
71000,middle,31,0.141
71000,end,33,3.048
71000,absent,34,0.154
71000,random,31,0.375
72000,beginning,31,0.143
72000,middle,31,0.169
72000,end,33,0.579
72000,absent,34,0.154
72000,random,33,0.147
73000,beginning,31,0.143
73000,middle,31,0.142
73000,end,33,0.172
73000,absent,34,0.151
73000,random,31,0.127
74000,beginning,31,0.382
74000,middle,31,0.143
74000,end,33,0.157
74000,absent,34,0.318
74000,random,33,1.83
75000,beginning,31,0.148
75000,middle,31,0.15
75000,end,33,0.248
75000,absent,34,0.158
75000,random,31,0.132
76000,beginning,31,0.149
76000,middle,31,0.404
76000,end,33,0.158
76000,absent,34,0.159
76000,random,21,0.096
77000,beginning,31,0.579
77000,middle,31,0.149
77000,end,33,0.157
77000,absent,34,0.644
77000,random,27,0.118
78000,beginning,31,0.15
78000,middle,31,0.406
78000,end,33,0.155
78000,absent,34,0.157
78000,random,25,0.11
79000,beginning,31,0.089
79000,middle,31,0.781
79000,end,33,0.115
79000,absent,34,1.783
79000,random,27,0.184
80000,beginning,31,0.273
80000,middle,31,0.139
80000,end,33,0.141
80000,absent,34,0.159
80000,random,31,0.146
81000,beginning,31,0.153
81000,middle,31,0.152
81000,end,33,0.552
81000,absent,34,0.172
81000,random,27,0.121
82000,beginning,31,0.129
82000,middle,31,0.13
82000,end,33,0.518
82000,absent,34,0.292
82000,random,29,0.12
83000,beginning,31,0.327
83000,middle,31,0.148
83000,end,33,0.152
83000,absent,34,0.164
83000,random,27,0.148
84000,beginning,31,0.092
84000,middle,31,0.091
84000,end,33,0.111
84000,absent,34,0.118
84000,random,31,0.615
85000,beginning,31,0.091
85000,middle,31,0.096
85000,end,33,0.113
85000,absent,34,0.131
85000,random,27,0.079
86000,beginning,31,0.091
86000,middle,31,0.091
86000,end,33,0.204
86000,absent,34,0.139
86000,random,27,0.079
87000,beginning,31,0.137
87000,middle,31,0.1
87000,end,33,0.113
87000,absent,34,0.129
87000,random,29,0.085
88000,beginning,31,0.124
88000,middle,31,0.091
88000,end,33,0.111
88000,absent,34,0.126
88000,random,21,0.063
89000,beginning,31,0.144
89000,middle,31,0.129
89000,end,33,0.142
89000,absent,34,1.013
89000,random,25,0.37
90000,beginning,31,0.094
90000,middle,31,0.094
90000,end,33,0.144
90000,absent,34,0.298
90000,random,33,0.111
91000,beginning,31,0.208
91000,middle,31,0.094
91000,end,33,0.116
91000,absent,34,0.276
91000,random,33,0.137
92000,beginning,31,0.094
92000,middle,31,0.094
92000,end,33,0.271
92000,absent,34,0.13
92000,random,29,0.091
93000,beginning,31,0.106
93000,middle,31,0.148
93000,end,33,0.378
93000,absent,34,0.156
93000,random,29,0.121
94000,beginning,31,0.116
94000,middle,31,0.319
94000,end,33,0.143
94000,absent,34,0.155
94000,random,27,0.115
95000,beginning,31,0.128
95000,middle,31,0.148
95000,end,33,0.16
95000,absent,34,0.319
95000,random,29,0.141
96000,beginning,31,0.134
96000,middle,31,0.12
96000,end,33,0.277
96000,absent,34,0.137
96000,random,27,0.082
97000,beginning,31,0.095
97000,middle,31,0.184
97000,end,33,0.212
97000,absent,34,0.131
97000,random,33,0.109
98000,beginning,31,0.094
98000,middle,31,0.094
98000,end,33,0.189
98000,absent,34,0.328
98000,random,29,0.087
99000,beginning,31,0.094
99000,middle,31,0.256
99000,end,33,0.11
99000,absent,34,0.13
99000,random,27,0.081
100000,beginning,31,0.094
100000,middle,31,0.106
100000,end,33,0.114
100000,absent,34,0.134
100000,random,31,0.093
