n,scenario,comparisons,time_microsec
1000,beginning,17,0.068
1000,middle,17,0.068
1000,end,19,0.074
1000,absent,20,0.078
1000,random,5,0.023
2000,beginning,19,0.076
2000,middle,19,0.076
2000,end,21,0.085
2000,absent,22,0.09
2000,random,21,2.554
3000,beginning,21,0.059
3000,middle,21,0.059
3000,end,23,0.064
3000,absent,24,0.07
3000,random,23,0.069
4000,beginning,21,0.064
4000,middle,21,0.064
4000,end,23,0.064
4000,absent,24,0.067
4000,random,15,0.042
5000,beginning,23,0.064
5000,middle,23,0.064
5000,end,25,0.069
5000,absent,26,0.072
5000,random,25,2.582
6000,beginning,23,0.147
6000,middle,23,0.275
6000,end,25,0.097
6000,absent,26,0.112
6000,random,23,0.295
7000,beginning,23,0.063
7000,middle,23,0.076
7000,end,25,0.087
7000,absent,26,0.075
7000,random,25,0.16
8000,beginning,23,0.063
8000,middle,23,0.063
8000,end,25,0.392
8000,absent,26,0.07
8000,random,23,0.062
9000,beginning,25,0.068
9000,middle,25,0.068
9000,end,27,0.072
9000,absent,28,0.076
9000,random,27,0.075
10000,beginning,25,0.098
10000,middle,25,0.314
10000,end,27,0.072
10000,absent,28,0.081
10000,random,23,0.063
11000,beginning,25,0.09
11000,middle,25,0.083
11000,end,27,0.09
11000,absent,28,0.103
11000,random,25,0.092
12000,beginning,25,0.068
12000,middle,25,0.154
12000,end,27,0.072
12000,absent,28,0.08
12000,random,21,0.061
13000,beginning,25,0.068
13000,middle,25,0.068
13000,end,27,0.072
13000,absent,28,0.076
13000,random,27,0.137
14000,beginning,25,0.068
14000,middle,25,0.068
14000,end,27,0.144
14000,absent,28,0.075
14000,random,27,0.085
15000,beginning,25,0.088
15000,middle,25,0.081
15000,end,27,0.072
15000,absent,28,0.076
15000,random,25,0.067
16000,beginning,25,0.068
16000,middle,25,0.068
16000,end,27,0.072
16000,absent,28,0.076
16000,random,27,0.155
17000,beginning,27,0.073
17000,middle,27,0.073
17000,end,29,0.077
17000,absent,30,0.081
17000,random,25,0.067
18000,beginning,27,0.084
18000,middle,27,0.073
18000,end,29,0.082
18000,absent,30,0.152
18000,random,25,0.068
19000,beginning,27,0.073
19000,middle,27,0.073
19000,end,29,0.077
19000,absent,30,0.081
19000,random,27,0.073
20000,beginning,27,0.073
20000,middle,27,0.073
20000,end,29,0.077
20000,absent,30,0.081
20000,random,25,0.172
21000,beginning,27,0.122
21000,middle,27,0.073
21000,end,29,0.078
21000,absent,30,0.081
21000,random,27,0.073
22000,beginning,27,0.079
22000,middle,27,0.091
22000,end,29,0.077
22000,absent,30,0.081
22000,random,29,0.078
23000,beginning,27,1.458
23000,middle,27,0.073
23000,end,29,0.077
23000,absent,30,0.501
23000,random,29,0.077
24000,beginning,27,0.075
24000,middle,27,0.075
24000,end,29,0.085
24000,absent,30,0.111
24000,random,25,0.266
25000,beginning,27,0.109
25000,middle,27,0.073
25000,end,29,0.077
25000,absent,30,0.081
25000,random,27,0.073
26000,beginning,27,0.073
26000,middle,27,0.073
26000,end,29,0.077
26000,absent,30,0.094
26000,random,25,0.146
27000,beginning,27,0.073
27000,middle,27,0.073
27000,end,29,0.077
27000,absent,30,0.081
27000,random,21,0.057
28000,beginning,27,0.08
28000,middle,27,0.125
28000,end,29,0.077
28000,absent,30,0.081
28000,random,29,0.181
29000,beginning,27,0.099
29000,middle,27,0.105
29000,end,29,0.111
29000,absent,30,0.118
29000,random,23,0.091
30000,beginning,27,0.345
30000,middle,27,0.109
30000,end,29,0.183
30000,absent,30,0.116
30000,random,27,0.108
31000,beginning,27,0.106
31000,middle,27,0.203
31000,end,29,0.108
31000,absent,30,0.117
31000,random,25,0.101
32000,beginning,27,0.105
32000,middle,27,0.099
32000,end,29,0.374
32000,absent,30,0.13
32000,random,29,0.116
33000,beginning,29,0.144
33000,middle,29,0.078
33000,end,31,0.083
33000,absent,32,0.086
33000,random,29,0.078
34000,beginning,29,0.181
34000,middle,29,0.078
34000,end,31,0.083
34000,absent,32,0.086
34000,random,29,0.078
35000,beginning,29,0.08
35000,middle,29,0.115
35000,end,31,0.236
35000,absent,32,0.141
35000,random,27,0.126
36000,beginning,29,0.116
36000,middle,29,0.133
36000,end,31,0.126
36000,absent,32,1.15
36000,random,29,0.123
37000,beginning,29,0.13
37000,middle,29,0.116
37000,end,31,0.136
37000,absent,32,0.331
37000,random,29,0.116
38000,beginning,29,0.154
38000,middle,29,0.118
38000,end,31,0.329
38000,absent,32,0.138
38000,random,27,0.108
39000,beginning,29,0.46
39000,middle,29,0.078
39000,end,31,0.083
39000,absent,32,0.086
39000,random,29,0.077
40000,beginning,29,0.076
40000,middle,29,0.076
40000,end,31,0.186
40000,absent,32,0.087
40000,random,29,0.079
41000,beginning,29,0.079
41000,middle,29,0.079
41000,end,31,0.081
41000,absent,32,0.097
41000,random,27,0.073
42000,beginning,29,0.224
42000,middle,29,0.122
42000,end,31,0.118
42000,absent,32,0.115
42000,random,21,0.056
43000,beginning,29,0.077
43000,middle,29,0.077
43000,end,31,0.233
43000,absent,32,0.095
43000,random,29,0.114
44000,beginning,29,0.104
44000,middle,29,0.102
44000,end,31,0.111
44000,absent,32,0.1
44000,random,29,0.116
45000,beginning,29,0.124
45000,middle,29,0.245
45000,end,31,0.123
45000,absent,32,0.142
45000,random,27,0.308
46000,beginning,29,0.119
46000,middle,29,0.125
46000,end,31,0.123
46000,absent,32,0.138
46000,random,29,0.122
47000,beginning,29,0.123
47000,middle,29,0.119
47000,end,31,0.12
47000,absent,32,0.131
47000,random,29,0.118
48000,beginning,29,0.23
48000,middle,29,0.127
48000,end,31,0.13
48000,absent,32,0.135
48000,random,29,0.123
49000,beginning,29,0.118
49000,middle,29,0.379
49000,end,31,0.135
49000,absent,32,0.132
49000,random,27,0.105
50000,beginning,29,0.21
50000,middle,29,0.119
50000,end,31,0.125
50000,absent,32,0.137
50000,random,29,0.123
51000,beginning,29,0.127
51000,middle,29,0.123
51000,end,31,0.225
51000,absent,32,0.14
51000,random,31,0.142
52000,beginning,29,0.125
52000,middle,29,0.123
52000,end,31,0.224
52000,absent,32,0.143
52000,random,31,0.147
53000,beginning,29,0.134
53000,middle,29,0.124
53000,end,31,0.128
53000,absent,32,0.226
53000,random,21,0.092
54000,beginning,29,0.083
54000,middle,29,0.078
54000,end,31,0.082
54000,absent,32,0.126
54000,random,27,0.181
55000,beginning,29,0.079
55000,middle,29,0.102
55000,end,31,0.132
55000,absent,32,0.134
55000,random,31,0.154
56000,beginning,29,0.215
56000,middle,29,0.123
56000,end,31,0.13
56000,absent,32,0.138
56000,random,29,0.116
57000,beginning,29,0.245
57000,middle,29,0.123
57000,end,31,0.144
57000,absent,32,0.141
57000,random,31,0.137
58000,beginning,29,0.214
58000,middle,29,0.117
58000,end,31,0.134
58000,absent,32,0.139
58000,random,17,0.069
59000,beginning,29,0.124
59000,middle,29,0.249
59000,end,31,0.128
59000,absent,32,0.137
59000,random,29,0.129
60000,beginning,29,0.13
60000,middle,29,0.224
60000,end,31,0.129
60000,absent,32,0.128
60000,random,31,0.132
61000,beginning,29,0.077
61000,middle,29,0.146
61000,end,31,0.08
61000,absent,32,0.195
61000,random,31,0.085
62000,beginning,29,0.076
62000,middle,29,0.149
62000,end,31,0.33
62000,absent,32,0.136
62000,random,31,0.119
63000,beginning,29,0.687
63000,middle,29,0.145
63000,end,31,0.136
63000,absent,32,0.139
63000,random,31,0.124
64000,beginning,29,0.235
64000,middle,29,0.08
64000,end,31,0.122
64000,absent,32,0.293
64000,random,31,0.11
65000,beginning,29,0.12
65000,middle,29,0.117
65000,end,31,0.13
65000,absent,32,0.283
65000,random,29,0.128
66000,beginning,31,0.277
66000,middle,31,0.141
66000,end,33,0.238
66000,absent,34,0.157
66000,random,31,0.143
67000,beginning,31,0.137
67000,middle,31,0.235
67000,end,33,0.15
67000,absent,34,0.169
67000,random,31,0.139
68000,beginning,31,0.145
68000,middle,31,0.146
68000,end,33,0.24
68000,absent,34,0.155
68000,random,29,0.124
69000,beginning,31,0.109
69000,middle,31,0.684
69000,end,33,0.119
69000,absent,34,0.138
69000,random,31,0.137
70000,beginning,31,0.134
70000,middle,31,0.134
70000,end,33,0.141
70000,absent,34,0.146
70000,random,31,0.133
71000,beginning,31,0.082
71000,middle,31,0.082
71000,end,33,0.099
71000,absent,34,0.109
71000,random,29,0.079
72000,beginning,31,0.091
72000,middle,31,0.094
72000,end,33,1.628
72000,absent,34,0.119
72000,random,31,0.09
73000,beginning,31,0.099
73000,middle,31,0.111
73000,end,33,1.651
73000,absent,34,0.11
73000,random,31,0.094
74000,beginning,31,0.095
74000,middle,31,0.095
74000,end,33,0.092
74000,absent,34,1.215
74000,random,33,0.105
75000,beginning,31,0.093
75000,middle,31,0.117
75000,end,33,0.148
75000,absent,34,0.16
75000,random,29,0.219
76000,beginning,31,0.285
76000,middle,31,0.133
76000,end,33,0.155
76000,absent,34,0.157
76000,random,31,0.142
77000,beginning,31,0.144
77000,middle,31,0.15
77000,end,33,0.15
77000,absent,34,0.162
77000,random,33,0.159
78000,beginning,31,0.137
78000,middle,31,0.127
78000,end,33,0.17
78000,absent,34,0.117
78000,random,29,0.182
79000,beginning,31,0.094
79000,middle,31,0.09
79000,end,33,0.123
79000,absent,34,0.304
79000,random,23,0.063
80000,beginning,31,0.082
80000,middle,31,0.09
80000,end,33,0.118
80000,absent,34,0.234
80000,random,27,0.175
81000,beginning,31,0.091
81000,middle,31,0.09
81000,end,33,0.099
81000,absent,34,0.147
81000,random,33,0.248
82000,beginning,31,0.137
82000,middle,31,0.139
82000,end,33,0.26
82000,absent,34,0.146
82000,random,29,0.102
83000,beginning,31,0.14
83000,middle,31,0.267
83000,end,33,0.139
83000,absent,34,0.133
83000,random,31,0.115
