Algorithm,n,k,AvgComparisons,AvgSwaps
quick_sort,1000,10,57286.00,18313.00
quick_sort,2000,10,133021.00,41117.00
quick_sort,3000,10,203954.00,63270.00
quick_sort,4000,10,303228.00,91136.00
quick_sort,5000,10,378650.00,116316.00
quick_sort,6000,10,463739.00,139688.00
quick_sort,7000,10,554005.00,164871.00
quick_sort,8000,10,681274.00,199913.00
quick_sort,9000,10,765778.00,225104.00
quick_sort,10000,10,852034.00,254780.00
quick_sort,11000,10,927309.00,276512.00
quick_sort,12000,10,1039496.00,305474.00
quick_sort,13000,10,1123244.00,331018.00
quick_sort,14000,10,1239579.00,360247.00
quick_sort,15000,10,1318242.00,382319.00
