n,scenario,metric,avg_cost,max_cost
10000,ascending_test,key_comparisons,3752.37,9999
10000,ascending_test,pointer_operations,3755.37,10002
10000,ascending_test,tree_height,4999,9999
10000,random_test,key_comparisons,15.2249,33
10000,random_test,pointer_operations,19.1638,42
10000,random_test,tree_height,26.3667,33
20000,ascending_test,key_comparisons,7502.6,19999
20000,ascending_test,pointer_operations,7505.6,20002
20000,ascending_test,tree_height,9999,19999
20000,random_test,key_comparisons,16.4747,37
20000,random_test,pointer_operations,20.402,45
20000,random_test,tree_height,29.2812,37
30000,ascending_test,key_comparisons,11246.8,29999
30000,ascending_test,pointer_operations,11249.8,30002
30000,ascending_test,tree_height,14999,29999
30000,random_test,key_comparisons,17.0029,40
30000,random_test,pointer_operations,20.943,49
30000,random_test,tree_height,31.4958,40
40000,ascending_test,key_comparisons,15000.2,39999
40000,ascending_test,pointer_operations,15003.2,40002
40000,ascending_test,tree_height,19999,39999
40000,random_test,key_comparisons,17.5093,40
40000,random_test,pointer_operations,21.4517,46
40000,random_test,tree_height,31.424,40
50000,ascending_test,key_comparisons,18741.4,49999
50000,ascending_test,pointer_operations,18744.4,50002
50000,ascending_test,tree_height,24999,49999
50000,random_test,key_comparisons,17.7601,41
50000,random_test,pointer_operations,21.6954,47
50000,random_test,tree_height,32.0458,40
60000,ascending_test,key_comparisons,22496.4,59999
60000,ascending_test,pointer_operations,22499.4,60002
60000,ascending_test,tree_height,29999,59999
60000,random_test,key_comparisons,18.0793,38
60000,random_test,pointer_operations,22.0141,45
60000,random_test,tree_height,31.9215,38
70000,ascending_test,key_comparisons,26258.9,69999
70000,ascending_test,pointer_operations,26261.9,70002
70000,ascending_test,tree_height,34999,69999
70000,random_test,key_comparisons,19.0583,41
70000,random_test,pointer_operations,22.9925,47
70000,random_test,tree_height,33.0573,41
80000,ascending_test,key_comparisons,29994.1,79999
80000,ascending_test,pointer_operations,29997.1,80002
80000,ascending_test,tree_height,39999,79999
80000,random_test,key_comparisons,19.2845,40
80000,random_test,pointer_operations,23.2215,49
80000,random_test,tree_height,34.9743,40
90000,ascending_test,key_comparisons,33755.7,89999
90000,ascending_test,pointer_operations,33758.7,90002
90000,ascending_test,tree_height,44999,89999
90000,random_test,key_comparisons,19.6244,42
90000,random_test,pointer_operations,23.5598,52
90000,random_test,tree_height,34.8719,42
100000,ascending_test,key_comparisons,37496,99999
100000,ascending_test,pointer_operations,37499,100002
100000,ascending_test,tree_height,49999,99999
100000,random_test,key_comparisons,19.6071,42
100000,random_test,pointer_operations,23.5405,47
100000,random_test,tree_height,34.7506,42
