n,avg_comparison_per_op
100,3.900
200,4.664
300,5.105
400,5.407
500,5.642
600,5.838
700,5.990
800,6.137
900,6.247
1000,6.360
1100,6.477
1200,6.555
1300,6.660
1400,6.733
1500,6.828
1600,6.890
1700,6.938
1800,6.981
1900,7.048
2000,7.120
2100,7.176
2200,7.201
2300,7.286
2400,7.303
2500,7.342
2600,7.406
2700,7.424
2800,7.473
2900,7.518
3000,7.561
3100,7.595
3200,7.622
3300,7.654
3400,7.679
3500,7.703
3600,7.752
3700,7.774
3800,7.817
3900,7.848
4000,7.869
4100,7.918
4200,7.927
4300,7.951
4400,7.968
4500,7.990
4600,8.005
4700,8.036
4800,8.057
4900,8.086
5000,8.089
5100,8.127
5200,8.140
5300,8.157
5400,8.174
5500,8.208
5600,8.211
5700,8.235
5800,8.253
5900,8.280
6000,8.300
6100,8.322
6200,8.344
6300,8.352
6400,8.370
6500,8.376
6600,8.396
6700,8.422
6800,8.426
6900,8.443
7000,8.462
7100,8.488
7200,8.511
7300,8.513
7400,8.521
7500,8.538
7600,8.561
7700,8.571
7800,8.590
7900,8.611
8000,8.617
8100,8.646
8200,8.666
8300,8.671
8400,8.678
8500,8.681
8600,8.690
8700,8.713
8800,8.722
8900,8.718
9000,8.737
9100,8.762
9200,8.767
9300,8.773
9400,8.779
9500,8.798
9600,8.798
9700,8.812
9800,8.825
9900,8.839
10000,8.839
